set_id,device_id,image_id,intended_view
SET-001,DEV-001,IMG-0001,front
SET-001,DEV-001,IMG-0002,label
SET-001,DEV-001,IMG-0003,rear_ports
SET-001,DEV-001,IMG-0004,front
SET-001,DEV-001,IMG-0005,label
SET-001,DEV-001,IMG-0006,front
SET-001,DEV-001,IMG-0007,front
SET-001,DEV-001,IMG-0008,front
SET-002,DEV-003,IMG-0016,front
SET-002,DEV-003,IMG-0017,front
SET-002,DEV-003,IMG-0018,label
SET-002,DEV-003,IMG-0019,rear_ports
SET-002,DEV-003,IMG-0020,front
SET-002,DEV-003,IMG-0021,label
SET-003,DEV-004,IMG-0022,front
SET-003,DEV-004,IMG-0023,label
SET-003,DEV-004,IMG-0024,rear_ports
SET-003,DEV-004,IMG-0025,front
SET-003,DEV-004,IMG-0026,front
SET-003,DEV-004,IMG-0027,label
SET-004,DEV-006,IMG-0035,label
SET-004,DEV-006,IMG-0036,front
SET-004,DEV-006,IMG-0037,label
SET-004,DEV-006,IMG-0038,label
SET-004,DEV-006,IMG-0039,label
SET-004,DEV-006,IMG-0040,label
SET-004,DEV-006,IMG-0041,label
SET-005,DEV-008,IMG-0048,front
SET-005,DEV-008,IMG-0049,rear_ports
SET-005,DEV-008,IMG-0050,label
SET-005,DEV-008,IMG-0051,label
SET-005,DEV-008,IMG-0052,label
SET-005,DEV-008,IMG-0053,label
SET-005,DEV-008,IMG-0054,label
SET-006,DEV-001,IMG-0001,front
SET-006,DEV-001,IMG-0002,label
SET-006,DEV-001,IMG-0003,rear_ports
SET-007,DEV-001,IMG-0001,front
SET-007,DEV-001,IMG-0002,label
SET-008,DEV-001,IMG-0004,front
SET-008,DEV-001,IMG-0002,label
SET-008,DEV-001,IMG-0003,rear_ports
SET-009,DEV-008,IMG-0048,front
SET-009,DEV-008,IMG-0049,rear_ports
